mse,sqr_percentage,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,batch,dimensions,early_stopping,epochs,l_rate
3.034322248553266e-06,inf,85.06528,-inf,nan,0.48602456,-0.4065593,0.08953564619645477,10,"[8, 4, 2, 1]",10,500,0.0005
1.5021111853631304e-07,inf,90.41796,-inf,nan,0.93765366,-0.52407384,0.16853056490886956,10,"[16, 8, 4, 2]",10,500,0.0005
2.155822172591302e-06,inf,92.30226,-inf,nan,1.2996342,-1.306069,0.2487020725151524,10,"[24, 12, 6, 3]",10,500,0.0005
6.857516661663226e-07,inf,95.4933,-inf,nan,3.0239248,-3.4607234,0.22144174973480404,10,"[32, 16, 8, 4]",10,500,0.0005
1.221845402932298e-07,inf,95.58039,-inf,nan,2.1752362,-2.9822993,-0.5999746477138251,10,"[40, 20, 10, 5]",10,500,0.0005
2.127420027197744e-06,inf,95.83386,-inf,nan,2.2675364,-3.1278272,0.32748978544026613,10,"[48, 24, 12, 6]",10,500,0.0005
5.505267210632483e-08,inf,95.96039,-inf,nan,2.6452613,-2.8643904,-0.07321981504093855,10,"[56, 28, 14, 7]",10,500,0.0005
3.0107778393213006e-06,inf,96.18478,-inf,nan,3.1223555,-5.45041,0.3727276712097228,10,"[64, 32, 16, 8]",10,500,0.0005
1.3170333380223802e-06,inf,96.34149,-inf,nan,3.225433,-5.13638,-0.3904275813885033,10,"[72, 36, 18, 9]",10,500,0.0005
3.2528701243667935e-07,inf,96.28856,-inf,nan,3.290402,-5.237692,-0.3289933282230049,10,"[80, 40, 20, 10]",10,500,0.0005
2.989504901346543e-07,inf,96.43843,-inf,nan,3.4358108,-5.251855,-0.18298783455044032,10,"[88, 44, 22, 11]",10,500,0.0005
3.3175272783105003e-06,inf,96.3905,-inf,nan,3.7646084,-3.9285583,-0.1074412809126079,10,"[96, 48, 24, 12]",10,500,0.0005
1.959598620447116e-06,inf,96.59951,-inf,nan,2.948247,-2.454619,0.07278592341579497,10,"[104, 52, 26, 13]",10,500,0.0005
5.8976065071222905e-06,inf,96.464935,-inf,nan,3.2314925,-3.867319,-0.2125244846753776,10,"[112, 56, 28, 14]",10,500,0.0005
7.987408811821604e-07,inf,96.667114,-inf,nan,4.324522,-2.7185159,-0.01986662274226546,10,"[120, 60, 30, 15]",10,500,0.0005
9.492226584428009e-07,inf,96.75894,-inf,nan,3.2166257,-4.1369896,-0.08363280832767486,10,"[128, 64, 32, 16]",10,500,0.0005
1.1631943874414674e-05,inf,96.83212,-inf,nan,3.444636,-4.2767634,-0.10325249025598168,10,"[136, 68, 34, 17]",10,500,0.0005
9.845127953568935e-07,inf,96.82008,-inf,nan,3.1763115,-3.7276576,-0.04389924540184438,10,"[144, 72, 36, 18]",10,500,0.0005
1.0796174035115634e-07,inf,96.944145,-inf,nan,6.0102396,-3.4631443,0.4002003364171833,10,"[152, 76, 38, 19]",10,500,0.0005
4.027350441239756e-08,inf,97.05687,-inf,nan,7.5495596,-8.071413,-0.06322050899267197,10,"[160, 80, 40, 20]",10,500,0.0005
2.0894899545201518e-06,inf,96.999344,-inf,nan,4.376402,-5.4612646,0.019652419583871962,10,"[168, 84, 42, 21]",10,500,0.0005
3.4159038664523266e-06,inf,97.08334,-inf,nan,4.2405653,-3.2549024,-0.3562651500292122,10,"[176, 88, 44, 22]",10,500,0.0005
1.299031402285478e-06,inf,95.834724,-inf,nan,1.384656,-1.1562998,-0.030319031998515128,10,"[184, 92, 46, 23]",10,500,0.0005
3.913741085560677e-06,inf,97.0813,-inf,nan,3.1713493,-3.638926,0.2642134649772197,10,"[192, 96, 48, 24]",10,500,0.0005
3.934511100308621e-07,inf,97.01947,-inf,nan,3.7405436,-2.5153217,0.04637510602362454,10,"[200, 100, 50, 25]",10,500,0.0005
1.4254211412677e-06,inf,96.01372,-inf,nan,1.870954,-1.9893799,0.02500796864274889,10,"[208, 104, 52, 26]",10,500,0.0005
2.432194572155371e-07,inf,97.25789,-inf,nan,4.66958,-4.007697,0.2808050403557718,10,"[216, 108, 54, 27]",10,500,0.0005
5.006534895446755e-07,inf,97.410736,-inf,nan,2.5406263,-3.9308026,-0.14932770021259784,10,"[224, 112, 56, 28]",10,500,0.0005
3.1631016558613173e-07,inf,97.397415,-inf,nan,2.4409556,-3.5490134,-0.42892725246027114,10,"[232, 116, 58, 29]",10,500,0.0005
1.1187524882108127e-07,inf,97.45441,-inf,nan,2.7054114,-3.9436653,-0.13422043374739587,10,"[240, 120, 60, 30]",10,500,0.0005
2.0315268256999484e-07,inf,97.42291,-inf,nan,2.583076,-3.851972,-0.34699486506171523,10,"[248, 124, 62, 31]",10,500,0.0005
7.850208008068507e-08,inf,97.43654,-inf,nan,3.7186856,-2.8274605,-0.14549331760965287,10,"[256, 128, 64, 32]",10,500,0.0005
1.1330176492670347e-06,inf,97.53966,-inf,nan,3.574831,-2.9554791,-0.12607524336315692,10,"[264, 132, 66, 33]",10,500,0.0005
1.1466730050933296e-05,inf,97.34396,-inf,nan,4.1086655,-3.2945755,-0.31104647607542574,10,"[272, 136, 68, 34]",10,500,0.0005
1.314943550777232e-09,inf,97.636826,-inf,nan,2.980315,-2.9570785,-0.006621644282713533,10,"[280, 140, 70, 35]",10,500,0.0005
8.142797196255861e-08,inf,97.441536,-inf,nan,6.765047,-8.315704,-0.08045789216645062,10,"[288, 144, 72, 36]",10,500,0.0005
7.856202618413276e-08,inf,97.65075,-inf,nan,2.5621052,-1.9182237,0.03201275904662907,10,"[296, 148, 74, 37]",10,500,0.0005
2.9945291955488104e-06,inf,96.325165,-inf,nan,1.1038115,-1.8356872,-0.027109850863926113,10,"[304, 152, 76, 38]",10,500,0.0005
3.359779832993407e-07,inf,97.60227,-inf,nan,3.163274,-4.28186,0.25172094187699257,10,"[312, 156, 78, 39]",10,500,0.0005
2.641031850665406e-06,inf,96.44435,-inf,nan,1.0638229,-1.1552138,-0.004279476953670382,10,"[320, 160, 80, 40]",10,500,0.0005
6.025169409752066e-07,inf,97.69234,-inf,nan,4.081336,-2.7289064,0.16197173674590887,10,"[328, 164, 82, 41]",10,500,0.0005
5.259840902544921e-07,inf,97.6922,-inf,nan,2.3929992,-2.487427,-0.03422791704535484,10,"[336, 168, 84, 42]",10,500,0.0005
8.209807427538537e-09,inf,97.66305,-inf,nan,2.219081,-2.5901232,-0.062084977980703115,10,"[344, 172, 86, 43]",10,500,0.0005
3.369138481548739e-06,inf,97.8333,-inf,nan,1.8749003,-2.2667465,0.16369328844361009,10,"[352, 176, 88, 44]",10,500,0.0005
7.875440602468642e-07,inf,97.79163,-inf,nan,2.3318264,-3.160684,0.06902499626390636,10,"[360, 180, 90, 45]",10,500,0.0005
2.3611473724691407e-07,inf,97.84134,-inf,nan,2.2475576,-2.5960019,0.13216086900327353,10,"[368, 184, 92, 46]",10,500,0.0005
8.381073988674494e-07,inf,97.7169,-inf,nan,2.6418152,-1.9292992,0.20850928292609752,10,"[376, 188, 94, 47]",10,500,0.0005
4.4585277723356717e-07,inf,97.71033,-inf,nan,4.47139,-4.2798605,-0.28355347431264816,10,"[384, 192, 96, 48]",10,500,0.0005
6.982886442957556e-08,inf,97.97403,-inf,nan,2.4282298,-2.8485737,-0.12698073842562735,10,"[392, 196, 98, 49]",10,500,0.0005
1.759267399718302e-06,inf,97.62905,-inf,nan,2.362443,-2.3587668,0.2142459282744676,10,"[400, 200, 100, 50]",10,500,0.0005
3.4346627322769156e-06,inf,97.797775,-inf,nan,2.9636347,-2.9406476,-0.17551234079524874,10,"[408, 204, 102, 51]",10,500,0.0005
4.8695389348164895e-06,inf,97.658356,-inf,nan,3.0240119,-2.76296,-0.02988156341481954,10,"[416, 208, 104, 52]",10,500,0.0005
2.4126239312849775e-06,inf,97.9866,-inf,nan,1.6526258,-2.142708,0.06948734246194363,10,"[424, 212, 106, 53]",10,500,0.0005
