Running Time," ""Loss"""," ""Compression"""," ""Learning Rate"""," ""Epochs"""," ""Batch Size"""," ""Early Stopping"""," ""Dimensions""",N_TIME,N_Loss,N_Comp,COST
225.2305968,0.003421854,0.005208333,0.001,100,10,10,"[24, 12, 6, 3]",0.979452967,0.000621252,1.000000064,0.400372777
229.9555471,0.003423993,0.005208333,0.001,100,10,20,"[24, 12, 6, 3]",1.000000205,0.00062164,1.000000064,0.40037301
158.1349809,0.003449421,0.005208333,0.001,100,10,5,"[24, 12, 6, 3]",0.687676446,0.000626257,1.000000064,0.40037578
112.4070504,0.003551896,0.005208333,0.001,50,10,5,"[24, 12, 6, 3]",0.488820882,0.000644861,1.000000064,0.400386942
111.6289241,0.003583519,0.005208333,0.001,50,10,20,"[24, 12, 6, 3]",0.48543707,0.000650603,1.000000064,0.400390387
75.32242632,0.003655325,0.005208333,0.01,100,10,10,"[24, 12, 6, 3]",0.327552184,0.000663639,1.000000064,0.400398209
58.19211006,0.00368316,0.005208333,0.01,50,10,5,"[24, 12, 6, 3]",0.253058135,0.000668693,1.000000064,0.400401241
113.9639876,0.003685313,0.005208333,0.001,50,10,10,"[24, 12, 6, 3]",0.495591484,0.000669084,1.000000064,0.400401476
115.9017484,0.003710593,0.005208333,0.01,100,100,10,"[24, 12, 6, 3]",0.504018162,0.000673673,1.000000064,0.40040423
63.69951272,0.003822675,0.005208333,0.01,100,10,5,"[24, 12, 6, 3]",0.277007998,0.000694022,1.000000064,0.400416439
22.79758525,0.003864669,0.005208333,0.01,10,10,20,"[24, 12, 6, 3]",0.099139117,0.000701647,1.000000064,0.400421014
58.25588584,0.00394603,0.005208333,0.01,50,100,20,"[24, 12, 6, 3]",0.253335475,0.000716418,1.000000064,0.400429876
115.3649631,0.004002954,0.005208333,0.01,100,100,5,"[24, 12, 6, 3]",0.501683861,0.000726753,1.000000064,0.400436077
23.37237144,0.004018901,0.005208333,0.01,10,10,5,"[24, 12, 6, 3]",0.101638671,0.000729648,1.000000064,0.400437814
179.9938467,0.004053904,0.003472222,0.01,100,10,20,"[16, 8, 4, 2]",0.782733384,0.000736003,0.666666709,0.267108285
65.85112214,0.004111752,0.005208333,0.01,50,100,5,"[24, 12, 6, 3]",0.286364632,0.000746505,1.000000064,0.400447929
186.3237216,0.004152121,0.003472222,0.001,100,10,10,"[16, 8, 4, 2]",0.810259905,0.000753835,0.666666709,0.267118984
177.8546662,0.004207169,0.003472222,0.001,100,10,20,"[16, 8, 4, 2]",0.7734308,0.000763829,0.666666709,0.267124981
23.72810888,0.00491861,0.005208333,0.001,10,10,5,"[24, 12, 6, 3]",0.103185655,0.000892994,1.000000064,0.400535822
23.79203558,0.005000259,0.005208333,0.001,10,10,20,"[24, 12, 6, 3]",0.103463651,0.000907818,1.000000064,0.400544716
23.22158599,0.005698449,0.005208333,0.01,10,10,10,"[24, 12, 6, 3]",0.100982955,0.001034577,1.000000064,0.400620772
93.21738338,0.006024914,0.003472222,0.001,50,10,10,"[16, 8, 4, 2]",0.405371402,0.001093848,0.666666709,0.267322992
89.2683208,0.007057996,0.003472222,0.001,50,10,5,"[16, 8, 4, 2]",0.388198242,0.001281408,0.666666709,0.267435529
19.08968782,0.007180492,0.003472222,0.01,10,10,10,"[16, 8, 4, 2]",0.083014704,0.001303648,0.666666709,0.267448872
154.1979616,0.007202998,0.001736111,0.001,100,10,10,"[8, 4, 2, 1]",0.670555658,0.001307734,0.333333355,0.134117982
120.4973767,0.007498848,0.001736111,0.01,100,10,20,"[8, 4, 2, 1]",0.524003021,0.001361447,0.333333355,0.13415021
118.3532486,0.008683225,0.005208333,0.001,100,100,5,"[24, 12, 6, 3]",0.514678921,0.001576475,1.000000064,0.400945911
78.39148593,0.008927517,0.003472222,0.001,100,10,5,"[16, 8, 4, 2]",0.340898504,0.001620827,0.666666709,0.26763918
88.64419127,0.008981138,0.003472222,0.01,100,100,20,"[16, 8, 4, 2]",0.38548411,0.001630562,0.666666709,0.267645021
46.94337201,0.009092894,0.003472222,0.01,50,100,10,"[16, 8, 4, 2]",0.204141114,0.001650852,0.666666709,0.267657195
36.51559949,0.009121502,0.003472222,0.01,50,10,5,"[16, 8, 4, 2]",0.158794199,0.001656046,0.666666709,0.267660311
