Accuracy,Time,MSE,Comp,L_Rate,Epochs,Batch Size,Early Stopping,Dimensions
98.97971749,323.1110489,2.81E-05,0.055555556,0.0005,200,10,20,"[256, 128, 64, 32]"
98.70761633,502.8032775,4.54E-05,0.055555556,0.0005,200,5,20,"[256, 128, 64, 32]"
98.53919744,322.7704015,5.79E-05,0.055555556,0.0005,100,5,20,"[256, 128, 64, 32]"
98.52279425,193.6422827,5.69E-05,0.055555556,0.001,200,20,20,"[256, 128, 64, 32]"
98.01030159,202.8243222,9.78E-05,0.055555556,0.0005,200,20,20,"[256, 128, 64, 32]"
98.00159931,282.5775063,0.000111463,0.013888889,0.0005,200,10,20,"[64, 32, 16, 8]"
97.9958415,322.7727239,0.000108957,0.013888889,0.001,200,10,20,"[64, 32, 16, 8]"
97.95498848,151.0207458,0.00010935,0.055555556,0.0005,100,10,20,"[256, 128, 64, 32]"
97.88635373,474.3409479,0.000121402,0.013888889,0.0005,200,5,20,"[64, 32, 16, 8]"
97.82064557,622.830653,0.000119867,0.055555556,0.0001,200,5,20,"[256, 128, 64, 32]"
97.74333835,323.0872743,0.000125213,0.055555556,0.0001,200,10,20,"[256, 128, 64, 32]"
97.63596654,322.7832775,0.000139744,0.055555556,0.0001,100,5,20,"[256, 128, 64, 32]"
97.62502313,139.8899121,0.000153527,0.013888889,0.001,200,20,20,"[64, 32, 16, 8]"
97.58251905,322.753782,0.000157895,0.013888889,0.0005,100,5,20,"[64, 32, 16, 8]"
97.52898216,142.7829273,0.000151942,0.055555556,0.0005,100,20,20,"[256, 128, 64, 32]"
97.52573371,275.4536417,0.000161177,0.013888889,0.001,100,5,20,"[64, 32, 16, 8]"
97.49469757,142.7732432,0.000171565,0.013888889,0.001,100,10,20,"[64, 32, 16, 8]"
97.47501612,502.7448022,0.000154702,0.013888889,0.001,200,5,20,"[64, 32, 16, 8]"
97.4044323,143.1173668,0.000167823,0.055555556,0.001,100,20,20,"[256, 128, 64, 32]"
97.37395048,203.1209724,0.000180059,0.013888889,0.0005,200,20,20,"[64, 32, 16, 8]"
97.26115465,142.7876127,0.000205227,0.013888889,0.0005,100,10,20,"[64, 32, 16, 8]"
97.24450111,202.7837036,0.000186699,0.055555556,0.0001,200,20,20,"[256, 128, 64, 32]"
97.19223976,202.8178036,0.000191992,0.055555556,0.0001,100,10,20,"[256, 128, 64, 32]"
97.004807,562.7521362,0.000235961,0.013888889,0.0001,200,5,20,"[64, 32, 16, 8]"
96.77257538,96.49475956,0.000264324,0.055555556,0.0001,100,20,20,"[256, 128, 64, 32]"
96.59808874,72.03601885,0.00029732,0.013888889,0.001,100,20,20,"[64, 32, 16, 8]"
95.75264454,82.76230264,0.00044762,0.013888889,0.0005,100,20,20,"[64, 32, 16, 8]"
95.38400173,545.4632823,0.000531213,0.006944444,0.001,200,5,20,"[32, 16, 8, 4]"
95.22060156,278.1799846,0.000556258,0.013888889,0.0001,200,10,20,"[64, 32, 16, 8]"
95.11300921,322.792022,0.000596527,0.006944444,0.001,200,10,20,"[32, 16, 8, 4]"
95.10330558,322.7420402,0.000612428,0.013888889,0.0001,100,5,20,"[64, 32, 16, 8]"
94.60615516,562.7867172,0.000737181,0.006944444,0.0005,200,5,20,"[32, 16, 8, 4]"
94.18488741,142.8277004,0.000873579,0.006944444,0.001,100,10,20,"[32, 16, 8, 4]"
94.09193993,323.1495428,0.000847098,0.006944444,0.001,100,5,20,"[32, 16, 8, 4]"
93.83782744,281.8360467,0.001003177,0.006944444,0.0005,200,10,20,"[32, 16, 8, 4]"
93.0826664,562.7605815,0.001251725,0.005208333,0.001,200,5,20,"[24, 12, 6, 3]"
92.93926954,202.7838225,0.001264774,0.013888889,0.0001,100,10,20,"[64, 32, 16, 8]"
92.81085134,562.7606091,0.00127164,0.006944444,0.0001,200,5,20,"[32, 16, 8, 4]"
92.62536168,141.6508033,0.001371489,0.013888889,0.0001,200,20,20,"[64, 32, 16, 8]"
92.39641428,136.9124029,0.001574262,0.006944444,0.001,200,20,20,"[32, 16, 8, 4]"
92.00248122,323.0478806,0.001697641,0.006944444,0.0005,100,5,20,"[32, 16, 8, 4]"
91.60302281,72.23106194,0.00171663,0.013888889,0.0001,100,20,20,"[64, 32, 16, 8]"
91.60273671,322.7592175,0.001894681,0.005208333,0.001,200,10,20,"[24, 12, 6, 3]"
91.03339314,68.24437118,0.002128197,0.006944444,0.001,100,20,20,"[32, 16, 8, 4]"
90.92487097,142.7737916,0.002185598,0.006944444,0.0005,200,20,20,"[32, 16, 8, 4]"
90.80740809,562.7744477,0.002201401,0.005208333,0.0005,200,5,20,"[24, 12, 6, 3]"
90.53742886,142.7545962,0.002298465,0.006944444,0.0005,100,10,20,"[32, 16, 8, 4]"
90.43770432,273.0778933,0.002383949,0.005208333,0.001,100,5,20,"[24, 12, 6, 3]"
89.69287276,82.7392118,0.002627665,0.006944444,0.0005,100,20,20,"[32, 16, 8, 4]"
89.50781822,542.805819,0.002739942,0.005208333,0.0001,200,5,20,"[24, 12, 6, 3]"
89.20606375,277.1532292,0.002839836,0.006944444,0.0001,100,5,20,"[32, 16, 8, 4]"
88.92498612,322.7495351,0.00292044,0.006944444,0.0001,200,10,20,"[32, 16, 8, 4]"
88.91029954,279.1043472,0.00301994,0.005208333,0.0001,200,10,20,"[24, 12, 6, 3]"
88.50504756,142.7456169,0.003095592,0.006944444,0.0001,200,20,20,"[32, 16, 8, 4]"
88.33156228,142.1061749,0.003216418,0.006944444,0.0001,100,10,20,"[32, 16, 8, 4]"
88.1853044,562.7543221,0.003258334,0.003472222,0.001,200,5,20,"[16, 8, 4, 2]"
88.07511926,322.7727532,0.003425259,0.005208333,0.0005,200,10,20,"[24, 12, 6, 3]"
88.04380894,135.8511684,0.003443073,0.005208333,0.001,200,20,20,"[24, 12, 6, 3]"
88.02797198,139.2961411,0.003471724,0.005208333,0.001,100,10,20,"[24, 12, 6, 3]"
