Accuracy,Time,MSE,Un,Batch,Dimensions,Early,Epochs,L_rate
96.00590467,493.2992887,0.000676902,2,10,"[256, 128, 64, 32]",10,500,0.0005
94.25638318,639.3110204,0.001296025,2,10,"[256, 128, 64, 32]",10,500,0.0001
94.22416687,197.4678538,0.001328675,2,50,"[256, 128, 64, 32]",10,500,0.0005
94.21026707,885.4582622,0.001317327,2,10,"[256, 128, 64, 32]",10,500,5.00E-05
94.0141201,442.8959165,0.001406826,2,50,"[256, 128, 64, 32]",10,500,0.0001
93.61873865,442.9038453,0.001608298,2,50,"[256, 128, 64, 32]",10,500,5.00E-05
93.43190789,382.8975246,0.001975857,2,10,"[64, 32, 16, 8]",10,500,0.0005
92.91779995,802.8985803,0.002211966,2,10,"[64, 32, 16, 8]",10,500,0.0001
92.82210469,166.4569926,0.002209616,2,50,"[64, 32, 16, 8]",10,500,0.0005
92.08925962,802.8837857,0.002595845,2,10,"[64, 32, 16, 8]",10,500,5.00E-05
91.4550364,142.8879814,0.002910519,2,50,"[64, 32, 16, 8]",10,500,0.0001
91.3438201,202.864336,0.002954808,2,50,"[64, 32, 16, 8]",10,500,5.00E-05
78.33302617,81.55251837,0.014096024,2,50,"[8, 4, 2, 1]",10,500,0.0005
78.33294272,203.1803112,0.014035881,2,10,"[8, 4, 2, 1]",10,500,0.0005
78.31240296,152.2280874,0.014141327,2,50,"[8, 4, 2, 1]",10,500,0.0001
78.30269337,742.8969419,0.014121678,2,10,"[8, 4, 2, 1]",10,500,5.00E-05
78.26217413,260.3905883,0.01405338,2,10,"[8, 4, 2, 1]",10,500,0.0001
78.1091392,202.8683114,0.014279208,2,50,"[8, 4, 2, 1]",10,500,5.00E-05
